function	arguments	platform	pure_rust	ulp	classification
expm1	7ff8000000000000	7ff8000000000000	7ff8000000000000	0	exact
expm1	0000000000000000	0000000000000000	0000000000000000	0	exact
expm1	8000000000000000	8000000000000000	8000000000000000	0	exact
expm1	7ff0000000000000	7ff0000000000000	7ff0000000000000	0	exact
expm1	fff0000000000000	bff0000000000000	bff0000000000000	0	exact
expm1	0000000000000001	0000000000000001	0000000000000001	0	ordinary
expm1	7fefffffffffffff	7ff0000000000000	7ff0000000000000	0	exact
expm1	bff0000000000000	bfe43a54e4e98864	bfe43a54e4e98864	0	ordinary
expm1	3ff0000000000000	3ffb7e151628aed3	3ffb7e151628aed2	1	ordinary
expm1	c000000000000000	bfebab5557101f8d	bfebab5557101f8d	0	ordinary
expm1	4000000000000000	40198e64b8d4ddae	40198e64b8d4ddae	0	ordinary
expm1	3fe6666666666666	3ff03854c24d130d	3ff03854c24d130d	0	ordinary
expm1	3ffb333333333333	4011e552770df8a7	4011e552770df8a6	1	ordinary
expm1	bfe6666666666666	bfe01bf92311555f	bfe01bf92311555f	0	ordinary
expm1	3bc79ca10c924223	3bc79ca10c924223	3bc79ca10c924223	0	ordinary
expm1	4415af1d78b58c40	7ff0000000000000	7ff0000000000000	0	exact
expm1	400921fb54442d18	403624046eb09339	403624046eb09339	0	ordinary
expm1	3fefffffffffffff	3ffb7e151628aed1	3ffb7e151628aed1	0	ordinary
expm1	3ff0000000000001	3ffb7e151628aed5	3ffb7e151628aed6	1	ordinary
log	7ff8000000000000	7ff8000000000000	7ff8000000000000	0	exact
log	0000000000000000	fff0000000000000	fff0000000000000	0	exact
log	8000000000000000	fff0000000000000	fff0000000000000	0	exact
log	7ff0000000000000	7ff0000000000000	7ff0000000000000	0	exact
log	fff0000000000000	7ff8000000000000	7ff8000000000000	0	exact
log	0000000000000001	c0874385446d71c3	c0874385446d71c3	0	ordinary
log	7fefffffffffffff	40862e42fefa39ef	40862e42fefa39ef	0	ordinary
log	bff0000000000000	7ff8000000000000	7ff8000000000000	0	exact
log	3ff0000000000000	0000000000000000	0000000000000000	0	exact
log	c000000000000000	7ff8000000000000	7ff8000000000000	0	exact
log	4000000000000000	3fe62e42fefa39ef	3fe62e42fefa39ef	0	ordinary
log	3fe6666666666666	bfd6d3c324e13f50	bfd6d3c324e13f50	0	ordinary
log	3ffb333333333333	3fe0fae81914a991	3fe0fae81914a991	0	ordinary
log	bfe6666666666666	7ff8000000000000	7ff8000000000000	0	exact
